	#	trade_efficiency	parent	trade_cost	avg_float_parent	avg_profit_price
93	94	-0.0654545454545455	R8 Revolver | Junk Yard (Well-Worn)	2.2	0.46	10.28
54	55	-0.0676190476190478	Glock-18 | Clear Polymer (Well-Worn)	2.1	0.5800000000000001	9.79
123	124	-0.0676190476190478	SG 553 | Heavy Metal (Well-Worn)	2.1	0.5800000000000001	9.79
82	83	-0.0711111111111111	Negev | dev_texture (Well-Worn)	3.0	0.495	8.36
23	24	-0.0744336569579287	Galil AR | Chromatic Aberration (Well-Worn)	30.9	0.48	57.2
124	125	-0.0771428571428571	SG 553 | Heavy Metal (Well-Worn)	2.1	0.6900000000000002	9.69
55	56	-0.0771428571428571	Glock-18 | Clear Polymer (Well-Worn)	2.1	0.6900000000000002	9.69
125	126	-0.081904761904762	SG 553 | Heavy Metal (Well-Worn)	2.1	0.9950000000000004	9.64
56	57	-0.081904761904762	Glock-18 | Clear Polymer (Well-Worn)	2.1	0.9950000000000004	9.64
114	115	-0.0827368421052628	SG 553 | Heavy Metal (Factory New)	9.5	0.0699999999999999	43.57000000000001
145	146	-0.0845454545454544	Nova | Windblown (Minimal Wear)	4.4	0.145	20.14
48	49	-0.0845454545454544	Glock-18 | Clear Polymer (Minimal Wear)	4.4	0.145	20.14
31	32	-0.0880462724935732	XM1014 | XOXO (Field-Tested)	38.9	0.3750000000000001	70.95
133	134	-0.0911111111111109	M249 | O.S.I.P.R. (Field-Tested)	2.7	0.23	12.270000000000003
148	149	-0.0930769230769229	Nova | Windblown (Field-Tested)	2.6	0.3750000000000001	11.790000000000004
24	25	-0.1003236245954691	Galil AR | Chromatic Aberration (Well-Worn)	30.9	0.5650000000000001	55.6
94	95	-0.1036363636363637	R8 Revolver | Junk Yard (Well-Worn)	2.2	0.525	9.86
136	137	-0.1036363636363637	M249 | O.S.I.P.R. (Well-Worn)	2.2	0.525	9.86
83	84	-0.1044444444444443	Negev | dev_texture (Well-Worn)	3.0	0.6450000000000001	8.06
115	116	-0.1054166666666667	SG 553 | Heavy Metal (Minimal Wear)	4.8	0.08	21.47
107	108	-0.1060869565217391	CZ75-Auto | Circaetus (Well-Worn)	2.3000000000000003	0.46	10.28
137	138	-0.1100000000000002	M249 | O.S.I.P.R. (Well-Worn)	2.2	0.5800000000000001	9.79
95	96	-0.1100000000000002	R8 Revolver | Junk Yard (Well-Worn)	2.2	0.5800000000000001	9.79
138	139	-0.1190909090909091	M249 | O.S.I.P.R. (Well-Worn)	2.2	0.6900000000000002	9.69
96	97	-0.1190909090909091	R8 Revolver | Junk Yard (Well-Worn)	2.2	0.6900000000000002	9.69
139	140	-0.1236363636363638	M249 | O.S.I.P.R. (Well-Worn)	2.2	0.6950000000000002	9.64
97	98	-0.1236363636363638	R8 Revolver | Junk Yard (Well-Worn)	2.2	0.9950000000000004	9.64
134	135	-0.1266666666666664	M249 | O.S.I.P.R. (Field-Tested)	2.7	0.3750000000000001	11.790000000000004
116	117	-0.1370833333333332	SG 553 | Heavy Metal (Minimal Wear)	4.8	0.105	20.71
108	109	-0.142608695652174	CZ75-Auto | Circaetus (Well-Worn)	2.3000000000000003	0.525	9.86
29	30	-0.1484943538268508	XM1014 | XOXO (Minimal Wear)	79.7	0.145	135.73
109	110	-0.1486956521739132	CZ75-Auto | Circaetus (Well-Worn)	2.3000000000000003	0.5800000000000001	9.79
73	74	-0.1555555555555556	MAC-10 | Button Masher (Well-Worn)	3.3000000000000003	0.495	8.36
110	111	-0.1573913043478262	CZ75-Auto | Circaetus (Well-Worn)	2.3000000000000003	0.6900000000000002	9.69
117	118	-0.1608333333333331	SG 553 | Heavy Metal (Minimal Wear)	4.8	0.145	20.14
22	23	-0.1613475177304965	Galil AR | Chromatic Aberration (Field-Tested)	42.3	0.3750000000000001	70.95
111	112	-0.1617391304347828	CZ75-Auto | Circaetus (Well-Worn)	2.3000000000000003	0.8950000000000004	9.64
34	35	-0.171602787456446	XM1014 | XOXO (Well-Worn)	28.700000000000003	0.8950000000000004	47.55
74	75	-0.1858585858585858	MAC-10 | Button Masher (Well-Worn)	3.3000000000000003	0.9950000000000004	8.06
64	65	-0.2038095238095237	P250 | Cyber Shell (Well-Worn)	3.5	0.495	8.36
9	10	-0.2050249861188229	MP9 | Food Chain (Factory New)	180.10000000000002	0.0699999999999999	286.35
20	21	-0.205327868852459	Galil AR | Chromatic Aberration (Minimal Wear)	85.39999999999999	0.145	135.73
